"","ID","toID","GNIS_ID","QA_MA","Index"
"476",16279,16278,"695222",22239.848,177
"477",16286,16279,"695222",20355.373,177
"478",16291,16279,"678260",1843.062,177
"479",16291,16279,"678260",1843.062,178
"480",16293,16291,"678260",1252.349,178
"481",16294,16291,"693078",586.753,178
"482",16404,16403,"558280",7994.586,179
"483",16434,16404,"558280",4684.885,179
"484",16482,16404,"77521",3269.852,179
"485",16432,16431,"558280",4048.34,180
"486",16391,16432,"76487",862.296,180
"487",16410,16432,"558280",3184.432,180
"488",16521,16520,"558280",16318.634,181
"489",16534,16521,"558280",11434.173,181
"490",16554,16521,"78285",4882.857,181
"491",16640,16642,"558728",78334.109,182
"492",16643,16640,"558728",39614.647,182
"493",16735,16640,"558170",38717.338,182
"494",16646,16670,"559801",218132.36,183
"495",16647,16646,"558728",218095.816,183
"496",16725,16724,"558170",38332.147,184
"497",16676,16725,"555092",4728.254,184
"498",16805,16725,"558170",33603.043,184
"499",16775,16774,"558329",3233.895,185
"500",16737,16775,"553486",1562.974,185
"501",16776,16775,"558329",1659.535,185
"502",16805,16725,"558170",33603.043,186
"503",16617,16805,"558280",29691.104,186
"504",16790,16805,"558329",3910.935,186
"505",16810,16809,"1629903",652898.747,187
"506",16833,16810,"1629903",650608.131,187
"507",16886,16810,"693517",2215.06,187
"508",16815,16823,"1629903",649450.949,188
"509",16820,16815,"1629903",647608.115,188
"510",16852,16815,"666612",1839.283,188
"511",16830,16832,"1629903",641494.477,189
"512",16103,16830,"1629903",619165.309,189
"513",16104,16830,"695222",22298.104,189
"514",16951,16952,"533938",1072.698,190
"515",16946,16951,"558259",1068.359,190
"516",16961,16983,"1627574",224132.621,191
"517",16960,16961,"1627574",220591.115,191
"518",16997,16961,"560088",3539.411,191
"519",16989,16987,"1627574",227004.738,192
"520",16985,16989,"1627574",224215.469,192
"521",17078,16989,"559899",2786.229,192
"522",17139,17213,"1035890",2402.389,193
"523",17141,17139,"1035890",1480.952,193
"524",17165,17139,"649867",911.702,193
"525",17382,17381,"801119",568.87,194
"526",17384,17382,"1588484",398.765,194
"527",17448,17442,"756398",6433.178,195
"528",17341,17448,"785443",3986.124,195
"529",17348,17448,"801119",2446.94,195
"530",17507,17506,"756398",10486.914,196
"531",17545,17507,"756398",9407.735,196
"532",17592,17507,"802208",1078.69,196
"533",17549,17548,"799001",1727.898,197
"534",17607,17549,"799001",1347.688,197
"535",17693,17549,"792009",380.189,197
"536",17582,17597,"802208",854.977,198
"537",17583,17582,"801498",401.424,198
"538",17649,17648,"799001",1191.245,199
"539",17604,17649,"792559",925.891,199
"540",17715,17713,"756398",13271.656,200
"541",17744,17715,"756398",12700.759,200
"542",17789,17715,"785583",570.577,200
"543",17743,17739,"756398",12571.845,201
"544",17537,17743,"756398",10843.641,201
"545",17548,17743,"799001",1727.934,201
"546",18247,18246,"1035255",7818.993,202
"547",18274,18247,"798974",1529.254,202
"548",18280,18247,"1035255",6289.313,202
"549",18261,18262,"1035255",6274.613,203
"550",18263,18261,"1035255",5342.26,203
"551",18284,18261,"791524",928.708,203
"552",18461,18493,"779903",2317.443,204
"553",18454,18461,"1604544",2307.149,204
"554",18888,18874,"1035255",13976.831,205
"555",18388,18888,"1035255",7959.451,205
"556",18588,18888,"779903",6017.267,205
"557",18957,18958,"1035255",16002.014,206
"558",18751,18957,"789156",1010.105,206
"559",18826,18957,"1035255",14990.553,206
"560",19005,19006,"756398",32510,207
"561",18124,19005,"756398",16201.727,207
"562",18979,19005,"1035255",16308.064,207
"563",19420,19421,"1267017",1706.503,208
"564",19391,19420,"1267017",971.59,208
"565",19396,19420,"1265120",731.159,208
"566",19640,19641,"1598719",1897.736,209
"567",19397,19640,"1267017",1896.959,209
"568",19670,19671,"756398",36849.155,210
"569",19656,19670,"756398",34895.332,210
"570",19657,19670,"1598719",1953.103,210
"571",20203,20257,"756398",39045.287,211
"572",20227,20203,"756398",38289.949,211
"573",20258,20203,"835960",754.283,211
"574",20237,20238,"756398",40334.268,212
"575",20236,20237,"756398",39146.279,212
"576",20259,20237,"1261082",1187.692,212
"577",20401,20402,"837263",2671.719,213
"578",20400,20401,"837263",2298.106,213
"579",20422,20401,"1604424",373.586,213
"580",20624,20638,"204647",4674.909,214
"581",20623,20624,"837263",4673.859,214
"582",20638,20862,"835915",8200.065,215
"583",20624,20638,"204647",4674.909,215
"584",20795,20638,"201759",3525.15,215
"585",20889,20888,"835915",9654.531,216
"586",20891,20889,"835915",8583.306,216
"587",21104,20889,"830922",1071.178,216
"588",20923,20922,"835915",10780.244,217
"589",20924,20923,"835915",9850.146,217
"590",20949,20923,"829066",927.577,217
"591",20960,20959,"837295",493.649,218
"592",21002,20960,"837295",311.24,218
"593",21018,20960,"833601",182.272,218
"594",21102,21094,"830922",828.733,219
"595",20997,21102,"837295",520.158,219
"596",21023,21102,"831710",308.504,219
"597",21108,21083,"830922",966.961,220
"598",21095,21108,"830922",867.84,220
"599",21135,21108,"828014",98.882,220
"600",21242,21241,"756398",43298.654,221
"601",21262,21242,"756398",42160.999,221
"602",21273,21242,"657126",1104.121,221
"603",21261,21260,"756398",41660.933,222
"604",20233,21261,"756398",40669.635,222
"605",20311,21261,"1253923",989.591,222
"606",21382,21380,"756398",55412.853,223
"607",20941,21382,"835915",11168.676,223
"608",21361,21382,"756398",44243.366,223
"609",21428,21437,"723379",1307.153,224
"610",21429,21428,"462890",743.027,224
"611",21467,21466,"756398",57078.939,225
"612",21385,21467,"756398",55700.458,225
"613",21438,21467,"723379",1378.377,225
"614",21831,21830,"485184",1714.493,226
"615",21792,21831,"485314",1713.217,226
"616",21866,21867,"485184",3334.055,227
"617",21764,21866,"485443",1614.885,227
"618",21828,21866,"485184",1717.971,227
"619",21901,21900,"485184",4973.613,228
"620",21859,21901,"485184",3486.823,228
"621",22010,21901,"485505",1485.295,228
"622",21986,21984,"485505",1146.06,229
"623",21987,21986,"485505",716.203,229
"624",22026,21986,"473167",427.664,229
"625",22139,22463,"715736",1609.907,230
"626",22089,22139,"455352",1606.871,230
"627",22269,22228,"756484",11027.813,231
"628",22268,22269,"756484",10012.187,231
"629",22285,22269,"723353",986.85,231
"630",22463,22462,"756398",77756.238,232
"631",22139,22463,"715736",1609.907,232
"632",22465,22463,"756398",76145.7,232
"633",22469,22468,"756398",76069.735,233
"634",22078,22469,"718673",5083.671,233
"635",22470,22469,"756398",70984.913,233
"636",22504,22503,"756398",69123.929,234
"637",21517,22504,"756398",61797.382,234
"638",21909,22504,"485184",7324.235,234
"639",22596,22539,"756398",95194.274,235
"640",22329,22596,"756484",12698.705,235
"641",22598,22596,"756398",82491.379,235
"642",22645,22646,"756398",99513.163,236
"643",22388,22645,"750029",3704.032,236
"644",22531,22645,"756398",95799.306,236
"645",22929,22923,"78762",11336.983,237
"646",22906,22929,"78762",9340.447,237
"647",22937,22929,"77861",1995.405,237
"648",23065,23064,"66965",5588.637,238
"649",22969,23065,"66965",2404.058,238
"650",22971,23065,"48270",3182.474,238
"651",23103,23102,"78762",23483.823,239
"652",22912,23103,"78762",13036.261,239
"653",23073,23103,"66965",10447.159,239
"654",23299,23289,"78956",2490.995,240
"655",23287,23299,"78956",2144.602,240
"656",23302,23299,"201784",345.33,240
"657",23386,23385,"78956",3164.937,241
"658",23387,23386,"473890",33.065,241
"659",23401,23386,"78956",3131.623,241
"660",23482,23488,"78956",4316.165,242
"661",23489,23482,"78956",4078.227,242
"662",23576,23482,"470132",237.85,242
"663",23541,23577,"470132",189.655,243
"664",23537,23541,"485476",82.907,243
"665",23893,23892,"470527",768.521,244
"666",23894,23893,"470527",496.712,244
"667",23941,23893,"1091288",269.101,244
"668",23901,23900,"470527",454.71,245
"669",23934,23901,"470112",44.497,245
"670",23935,23901,"470527",404.83,245
"671",24043,24042,"78956",6140.623,246
"672",23835,24043,"78956",5310.654,246
"673",23927,24043,"470527",827.54,246
"674",24059,24060,"78956",8803.18,247
"675",23817,24059,"1091369",1873.456,247
"676",24058,24059,"78956",6929.207,247
"677",24146,24144,"1099243",4565.17,248
"678",24147,24146,"1099243",3849.76,248
"679",24155,24146,"1090157",715.009,248
"680",24189,24188,"1095788",820.032,249
"681",24173,24189,"1095788",313.225,249
"682",24237,24189,"477526",506.689,249
"683",24409,24408,"1101881",883.935,250
"684",24410,24409,"1101881",581.051,250
"685",24465,24409,"915868",302.824,250
"686",24907,24906,"1101881",8395.26,251
"687",24882,24907,"1101886",3527.512,251
"688",24883,24907,"1101881",4866.616,251
"689",24893,24907,NA,111.421,251
"690",25056,25112,"78956",14796.623,252
"691",24123,25056,"1099243",5038.55,252
"692",25102,25056,"78956",9757.809,252
"693",25112,25111,"78956",24691.082,253
"694",24359,25112,"1095788",9891.237,253
"695",25056,25112,"78956",14796.623,253
"696",25127,25125,"78956",26996.156,254
"697",25124,25127,"78956",25045.742,254
"698",25193,25127,"1094043",1948.478,254
"699",25482,25479,"1364065",313.173,255
"700",25446,25482,"1364065",223.818,255
"701",25483,25482,"1092583",88.764,255
"702",25543,25549,"558728",828.749,256
"703",25399,25543,"1375939",178.171,256
"704",25518,25543,"558728",650.038,256
"705",25545,25546,"558728",531.015,257
"706",25346,25545,"1101908",530.399,257
"707",25574,25573,"558728",1599.694,258
"708",25581,25574,"558728",1301.656,258
"709",25623,25574,"1364947",297.853,258
"710",25580,25579,"558728",1291.135,259
"711",25481,25580,"1364065",455.682,259
"712",25538,25580,"558728",835.337,259
"713",25585,25622,"1364947",219.511,260
"714",25586,25585,"1362739",99.989,260
"715",25699,25698,"558728",2226.759,261
"716",25627,25699,"558728",1894.304,261
"717",25717,25699,"1376777",331.683,261
"718",25747,25748,"558728",5423.94,262
"719",25739,25747,"558728",3462.836,262
"720",25749,25747,"1101723",1957.112,262
"721",26042,26043,"558728",20156.64,263
"722",25939,26042,"558728",13574.691,263
"723",25987,26042,"72417",6580.91,263
"724",26072,26077,"558728",29098.941,264
"725",26068,26072,"558728",25182.889,264
"726",26120,26072,"534281",3914.431,264
"727",26114,26111,"558728",34415.642,265
"728",26056,26114,"558728",32913.079,265
"729",26095,26114,"553244",1496.422,265
"730",26118,26117,"556286",3433.326,266
"731",26122,26118,"1372544",2960.154,266
"732",26120,26072,"534281",3914.431,267
"733",26115,26120,"556286",3579.555,267
"734",26119,26120,"534281",332.081,267
"735",26489,26488,"1348789",1544.656,268
"736",26410,26489,"1383210",601.865,268
"737",26454,26489,"1373653",938.828,268
"738",26490,26462,"1348789",3510.914,269
"739",26463,26490,"1348789",2842.061,269
"740",26493,26490,"1332411",665.565,269
"741",26554,26546,"1348789",4327.233,270
"742",26460,26554,"1348789",3567.973,270
"743",26520,26554,"1375729",754.948,270
"744",26831,26830,"1384148",678.189,271
"745",26741,26831,"1373435",351.616,271
"746",26768,26831,"1375938",326.04,271
"747",26910,26916,"1384148",1465.598,272
"748",26769,26910,"1384148",916.373,272
"749",26837,26910,"1385454",548.568,272
"750",27226,27216,"1384149",2952.045,273
"751",27242,27226,"1384149",2794.767,273
"752",27245,27226,"1377778",156.824,273
"753",27502,27458,"1385432",5111.264,274
"754",27460,27502,"1385432",4116.441,274
"755",27505,27502,"923661",993.198,274
"756",27882,28116,"1385432",13457.937,275
"757",27900,27882,"1385432",13131.941,275
"758",27918,27882,"1373388",325.838,275
"759",27885,27883,"1385432",13016.082,276
"760",27890,27885,"1385432",10265.226,276
"761",28111,27885,"1384150",2739.962,276
"762",28448,28449,"45730",3152.625,277
"763",28496,28448,"45730",2530.151,277
"764",28523,28448,"174007",622.302,277
"765",28558,28604,"45730",9675.319,278
"766",28593,28558,"45730",5913.301,278
"767",28694,28558,"201748",3760.565,278
"768",28590,28589,"45730",4760.213,279
"769",28495,28590,"45730",3288.24,279
"770",28526,28590,"174812",1469.815,279
"771",28776,28775,"45730",11566.867,280
"772",28722,28776,"45730",9793.119,280
"773",28742,28776,"1440517",1773.519,280
"774",29021,29020,"169566",3493.702,281
"775",29022,29021,"169566",2363.084,281
"776",29044,29021,"201744",1128.742,281
"777",29203,29202,"1428399",7199.25,282
"778",28886,29203,"1428399",3689.876,282
"779",29045,29203,"169566",3509.123,282
"780",29279,29262,"1428399",10588.38,283
"781",29173,29279,"204653",1210.263,283
"782",29263,29279,"1428399",9378.008,283
"783",29354,29353,"45730",23354.2,284
"784",28778,29354,"45730",11731.037,284
"785",29335,29354,"1428399",11623.143,284
"786",29390,29389,"45730",24247.517,285
"787",29391,29390,"45730",24011.92,285
"788",29416,29390,"1440961",235.531,285
"789",29511,NA,"1454998",1932.582,286
"790",29509,29511,"1454998",1442.198,286
"791",29510,29511,"938722",488.331,286
"792",29578,29558,"1454998",3264.715,287
"793",29454,29578,"1454998",2024.449,287
"794",29513,29578,"900284",1240.252,287
"795",30069,30070,"45730",37293.815,288
"796",30071,30069,"45730",32122.739,288
"797",30223,30069,"42838",5171.065,288
"798",30116,30115,"33995",3006.481,289
"799",30141,30116,"33995",1911.384,289
"800",30177,30116,"35768",1094.719,289
"801",30216,30217,"42838",4877.789,290
"802",30074,30216,"42838",1680.842,290
"803",30142,30216,"33995",3017.1,290
"804",30479,30478,"798973",6894.562,291
"805",30480,30479,"798973",3785.393,291
"806",30486,30479,"779961",3109.122,291
"807",30485,30484,"798973",3616.37,292
"808",30364,30485,"798973",1758.807,292
"809",30390,30485,"800475",1857.492,292
"810",30503,30528,"783518",5558.813,293
"811",30504,30503,"787275",2636.31,293
"812",30513,30514,"783518",9517.111,294
"813",30512,30513,"783518",5611.859,294
"814",30547,30513,"790966",3903.146,294
"815",30589,30588,"790966",525.493,295
"816",30590,30589,"800672",229.777,295
"817",30693,30761,"386803",25524.977,296
"818",30694,30693,"798973",25456.051,296
"819",30716,30715,"798973",22002.037,297
"820",30426,30716,"798973",9294.813,297
"821",30643,30716,"783518",12706.32,297
"822",30930,30929,"1140014",104225.849,298
"823",30876,30930,"391131",7644.278,298
"824",30982,30930,"1140014",96581.422,298
"825",30968,30967,"1140014",91477.358,299
"826",30330,30968,"384301",15995.242,299
"827",30768,30968,"1533197",29815.68,299
"828",30999,30998,"1140014",109067.834,300
"829",31000,30999,"1140014",104401.542,300
"830",31047,30999,"1523981",4665.628,300
"831",31152,31150,"1140014",123428.62,301
"832",31151,31152,"1140014",117006.227,301
"833",31168,31152,"1528343",6422.337,301
"834",31205,31204,"1528343",6171.28,302
"835",31206,31205,"1527312",6171.245,302
"836",31296,31298,"1533479",9955.14,303
"837",31295,31296,"1533479",6647.026,303
"838",31304,31296,"383107",3307.791,303
"839",31354,31353,"383107",2325.703,304
"840",31359,31354,"381583",905.948,304
"841",31378,31354,"383107",1419.646,304
"842",31374,31373,"381583",654.905,305
"843",31376,31374,"1605133",390.986,305
"844",31513,31663,"1533479",14784.902,306
"845",31512,31513,"1533479",13770.642,306
"846",31567,31513,"1147319",1014.259,306
"847",31664,31645,"1533479",21938.951,307
"848",31646,31664,"1533479",18473.701,307
"849",31665,31664,"388284",3465.169,307
"850",31818,31817,"1533479",42989.979,308
"851",31832,31818,"1533479",40049.973,308
"852",31834,31818,"1505215",2939.587,308
"853",31831,31830,"1533479",40040.024,309
"854",31760,31831,"1533479",26139.135,309
"855",32103,31831,"400069",13900.719,309
"856",31930,31929,"1533479",58837.858,310
"857",31801,31930,"1533479",43108.674,310
"858",31931,31930,"379406",15728.897,310
"859",32241,32240,"385022",1155.599,311
"860",32242,32241,"400173",644.527,311
"861",32243,32308,"379406",8292.335,312
"862",32244,32243,"386806",6801.871,312
"863",32259,32258,"386806",6714.396,313
"864",32179,32259,"390102",3873.995,313
"865",32197,32259,"385022",2837.917,313
"866",32285,32284,"379406",14826.318,314
"867",32286,32285,"379406",9320.427,314
"868",32342,32285,"387675",5504.224,314
"869",32385,32466,"1140014",187622.936,315
"870",32386,32385,"1140014",185801.693,315
"871",32422,32385,"1144304",1820.59,315
"872",32417,32416,"1140014",183580.394,316
"873",31149,32417,"1140014",123430.451,316
"874",31932,32417,"1533479",60149.853,316
"875",32458,32457,"1140014",192537.645,317
"876",32459,32458,"1140014",187629.363,317
"877",32467,32458,"1140916",4906.921,317
"878",32556,32631,"1140916",3559.073,318
"879",32557,32556,"1140916",2770.143,318
"880",32561,32556,"1146118",788.894,318
"881",32748,32819,"1158060",6109.735,319
"882",32749,32748,"1146168",4261.388,319
"883",32813,32812,"1158060",11545.306,320
"884",32814,32813,"1158060",6174.689,320
"885",32821,32813,"1136527",5364.325,320
"886",32822,32915,"1158060",24000.896,321
"887",32779,32822,"1158060",15207.389,321
"888",32849,32822,"1163256",7645.121,321
"889",32854,32853,"1163256",7593.263,322
"890",32855,32854,"1150077",4181.368,322
"891",32936,32935,"1140014",240526.816,323
"892",32924,32936,"1158060",36473.885,323
"893",32937,32936,"1140014",204047.17,323
"894",33155,33154,"1151643",7405.046,324
"895",33064,33155,"1147070",3925.99,324
"896",33067,33155,"1150090",3469.301,324
"897",33284,33307,"1505048",15279.368,325
"898",33285,33284,"1508543",15270.895,325
"899",33285,33284,"1508543",15270.895,326
"900",33286,33285,"1525850",15270.42,326
"901",33310,33396,"1509417",4076.841,327
"902",33311,33310,"1508743",4074.101,327
"903",33319,33318,"1508743",3698.668,328
"904",33320,33319,"1523850",1948.883,328
"905",33342,33341,"1525899",3335.111,329
"906",33343,33342,"1526250",2245.379,329
"907",33373,33374,"1526021",2558.614,330
"908",33375,33373,"1523089",1178.858,330
"909",33395,33394,"1508473",8986.368,331
"910",33352,33395,"1525899",5211.274,331
"911",33353,33395,"1526021",3771.1,331
"912",33448,33454,"266887",2840.033,332
"913",33449,33448,"1161418",2839.894,332
"914",33535,33536,"266887",22321.179,333
"915",33599,33535,"266887",13487.06,333
"916",33628,33535,"236551",8826.633,333
"917",33644,33677,"1654947",6636.65,334
"918",33646,33644,"1654947",4430.751,334
"919",33660,33644,"266985",2180.719,334
"920",33677,33676,"1654949",8602.017,335
"921",33644,33677,"1654947",6636.65,335
"922",33678,33677,"1654949",1954.334,335
"923",33865,33866,"1654949",33137.108,336
"924",33694,33865,"1654949",19035.155,336
"925",33833,33865,"223423",14101.872,336
"926",33911,33944,"234362",14154.623,337
"927",33912,33911,"273488",14145.787,337
